variable name
Cardnum_Merchnum_total_7
Cardnum_Merstate_max_30
Cardnum_Merchnum_total_14
Cardnum_Merstate_total_14
Merchnum_avg_1
Cardnum_Merchnum_total_30
Zip_Atype_max_3
Cardnum_Merzip_total_14
Cardnum_Merstate_total_30
Cardnum_Merzip_total_30
Merchnum_Atype_total_7
Zip_Atype_total_14
Cardnum_Merzip_avg_1
State_Atype_med_14
Cardnum_Merchnum_avg_1
Cardnum_Merstate_avg_0
Cardnum_Merchnum_avg_3
Cardnum_Merchnum_avg_0
Cardnum_Merzip_avg_0
Cardnum_Merzip_avg_3
